S.No,District,State,Population,Growth,Sex-Ratio,Literacy
85,Bulandshahar,Uttar Pradesh,3499171,0.2012,896,68.88
86,Ludhiana,Punjab,3498739,0.1536,873,82.2
87,Vaishali,Bihar,3495021,0.2857,895,66.6
88,Nalgonda,Andhra Pradesh,3488809,0.0741,983,64.2
89,Bahraich,Uttar Pradesh,3487731,0.4648,892,49.36
90,Salem,Tamil Nadu,3482056,0.1544,954,72.86
91,Saharanpur,Uttar Pradesh,3466382,0.1966,890,70.49
92,Viluppuram,Tamil Nadu,3458873,0.1684,987,71.88
93,Coimbatore,Tamil Nadu,3458045,0.1856,1000,83.98
94,Meerut,Uttar Pradesh,3443689,0.1489,886,72.84
95,Gonda,Uttar Pradesh,3433919,0.2417,921,58.71
96,Sitamarhi,Bihar,3423574,0.2762,899,52.05
97,Rae Bareli,Uttar Pradesh,3405559,0.1856,943,67.25
98,Prakasam,Andhra Pradesh,3397448,0.1105,981,63.08
99,Nanded,Maharashtra,3361292,0.1686,943,75.45
100,Durg,Chhattisgarh,3343872,0.1898,988,79.06
101,Siwan,Bihar,3330464,0.227,988,69.45
102,Nagaur,Rajasthan,3307743,0.192,950,62.8
103,Thiruvananthapuram,Kerala,3301427,0.0207,1087,93.02
104,Ernakulam,Kerala,3282388,0.0569,1027,95.89
105,Indore,Madhya Pradesh,3276697,0.3288,928,80.87
106,Purnia,Bihar,3264619,0.2833,921,51.08
107,Barabanki,Uttar Pradesh,3260699,0.2196,910,61.75
108,Ballia,Uttar Pradesh,3239774,0.1731,937,70.94
109,Pratapgarh,Uttar Pradesh,3209141,0.175,998,70.09
110,Thrissur,Kerala,3121200,0.0494,1108,95.08
111,Banaskantha,Gujarat,3120506,0.2461,938,65.32
112,Unnao,Uttar Pradesh,3108367,0.1511,907,66.37
113,Deoria,Uttar Pradesh,3100946,0.1431,1017,71.13
114,Kozhikode,Kerala,3086293,0.072,1098,95.08
115,Mumbai City,Maharashtra,3085411,-0.0757,832,89.21
116,Tirunelveli,Tamil Nadu,3077233,0.1297,1023,82.5
117,Katihar,Bihar,3071029,0.2835,919,52.24
118,Udaipur,Rajasthan,3068420,0.2369,958,61.82
119,Madurai,Tamil Nadu,3038252,0.1784,990,83.45
120,Bhagalpur,Bihar,3037766,0.2536,880,63.14
121,Medak,Andhra Pradesh,3033288,0.136,992,61.42
122,Uttar Dinajpur,West Bengal,3007134,0.2315,939,59.07
123,Shahjahanpur,Uttar Pradesh,3006538,0.18,872,59.54
124,Satara,Maharashtra,3003741,0.0693,988,82.87
125,Mysore,Karnataka,3001127,0.1363,985,72.79
126,Begusarai,Bihar,2970541,0.2644,895,63.87
127,Sri Potti Sriramulu Nellore,Andhra Pradesh,2963557,0.1105,985,68.9
128,Rohtas,Bihar,2959918,0.2078,918,73.37
129,Puruliya,West Bengal,2930115,0.1552,957,64.48
130,Ranchi,Jharkhand,2914253,0.2398,949,76.06
131,Amravati,Maharashtra,2888445,0.1079,951,87.38
132,YSR,Andhra Pradesh,2882469,0.1079,985,67.3
133,Bhavnagar,Gujarat,2880365,0.1663,933,75.52
134,Nalanda,Bihar,2877653,0.2139,922,64.43
135,Nagaon,Assam,2823768,0.22,962,72.37
136,Sangli,Maharashtra,2822143,0.0924,966,81.48
137,Koch Bihar,West Bengal,2819086,0.1371,942,74.78
138,Araria,Bihar,2811569,0.3025,921,53.53
139,Palakkad,Kerala,2809934,0.0735,1067,89.31
140,Khammam,Andhra Pradesh,2797370,0.0847,1011,64.81
141,Yavatmal,Maharashtra,2772348,0.1278,952,82.82
142,Junagadh,Gujarat,2743082,0.1205,953,75.8
143,Adilabad,Andhra Pradesh,2741239,0.1018,1001,61.01
144,South Delhi,Delhi,2731929,0.2051,862,86.57
145,Bhojpur,Bihar,2728407,0.2163,907,70.47
146,Tiruchirappalli,Tamil Nadu,2722290,0.1257,1013,83.23
147,Srikakulam,Andhra Pradesh,2703114,0.0652,1015,61.74
